TRT,CAGETREATBLOCK ,CAGE,WEIGHT_1,WEIGHT_2,WEIGHT_3,,,,,,,,,,,,,,,,
Essential Oils,4,117,43,204,909,,,,,,,,,,,,,,,,
Essential Oils,5,178,40,221,800,,,,,,,,,,,,,,,,
Essential Oils,5,178,44,156,868,,,,,,,,,,,,,,,,
Essential Oils,5,178,41,189,726,,,,,,,,,,,,,,,,
Essential Oils,5,178,47,167,782,,,,,,,,,,,,,,,,
Essential Oils,5,178,44,212,975,,,,,,,,,,,,,,,,
Essential Oils,5,178,45,207,925,,,,,,,,,,,,,,,,
Essential Oils,5,178,38,168,916,,,,,,,,,,,,,,,,
Essential Oils,5,178,42,144,640,,,,,,,,,,,,,,,,
Essential Oils,5,178,46,189,888,,,,,,,,,,,,,,,,
Essential Oils,5,178,45,170,827,,,,,,,,,,,,,,,,
Essential Oils,6,181,44,202,877,,,,,,,,,,,,,,,,
Essential Oils,6,181,41,179,879,,,,,,,,,,,,,,,,
Essential Oils,6,181,41,186,928,,,,,,,,,,,,,,,,
Essential Oils,6,181,41,181,954,,,,,,,,,,,,,,,,
Essential Oils,6,181,45,189,846,,,,,,,,,,,,,,,,
Essential Oils,6,181,45,201,878,,,,,,,,,,,,,,,,
Essential Oils,6,181,44,209,859,,,,,,,,,,,,,,,,
Essential Oils,6,181,43,200,634,,,,,,,,,,,,,,,,
Essential Oils,6,181,42,193,814,,,,,,,,,,,,,,,,
Essential Oils,6,181,45,164,848,,,,,,,,,,,,,,,,
Essential Oils,7,191,47,176,894,,,,,,,,,,,,,,,,
Essential Oils,7,191,43,181,754,,,,,,,,,,,,,,,,
Essential Oils,7,191,43,155,737,,,,,,,,,,,,,,,,
Essential Oils,7,191,43,167,880,,,,,,,,,,,,,,,,
Essential Oils,7,191,45,207,789,,,,,,,,,,,,,,,,
Essential Oils,7,191,41,196,938,,,,,,,,,,,,,,,,
Essential Oils,7,191,44,177,815,,,,,,,,,,,,,,,,
Essential Oils,7,191,42,152,534,,,,,,,,,,,,,,,,
Essential Oils,7,191,46,195,888,,,,,,,,,,,,,,,,
Essential Oils,7,191,47,178,828,,,,,,,,,,,,,,,,
Essential Oils,8,195,40,185,779,,,,,,,,,,,,,,,,
Essential Oils,8,195,44,200,826,,,,,,,,,,,,,,,,
Essential Oils,8,195,43,203,863,,,,,,,,,,,,,,,,
Essential Oils,8,195,41,202,768,,,,,,,,,,,,,,,,
Essential Oils,8,195,39,194,790,,,,,,,,,,,,,,,,
Essential Oils,8,195,38,199,667,,,,,,,,,,,,,,,,
Essential Oils,8,195,38,212,971,,,,,,,,,,,,,,,,
Essential Oils,8,195,41,144,842,,,,,,,,,,,,,,,,
Essential Oils,8,195,39,178,886,,,,,,,,,,,,,,,,
Essential Oils,8,195,42,,,,,,,,,,,,,,,,,,
BMD,1,103,43,182,781,,,,,,,,,,,,,,,,
BMD,1,103,43,181,789,,,,,,,,,,,,,,,,
BMD,1,103,47,173,695,,,,,,,,,,,,,,,,
BMD,1,103,42,154,791,,,,,,,,,,,,,,,,
BMD,1,103,43,190,734,,,,,,,,,,,,,,,,
BMD,1,103,46,161,801,,,,,,,,,,,,,,,,
BMD,1,103,41,143,890,,,,,,,,,,,,,,,,
BMD,1,103,51,179,826,,,,,,,,,,,,,,,,
BMD,1,103,49,156,795,,,,,,,,,,,,,,,,
BMD,1,103,43,167,758,,,,,,,,,,,,,,,,
BMD,2,106,43,177,941,,,,,,,,,,,,,,,,
BMD,2,106,45,218,739,,,,,,,,,,,,,,,,
BMD,2,106,47,182,819,,,,,,,,,,,,,,,,
BMD,2,106,42,198,891,,,,,,,,,,,,,,,,
BMD,2,106,40,202,911,,,,,,,,,,,,,,,,
BMD,2,106,44,188,913,,,,,,,,,,,,,,,,
BMD,2,106,43,151,768,,,,,,,,,,,,,,,,
BMD,2,106,47,187,988,,,,,,,,,,,,,,,,
BMD,2,106,40,180,705,,,,,,,,,,,,,,,,
BMD,2,106,42,199,846,,,,,,,,,,,,,,,,
BMD,3,113,45,134,854,,,,,,,,,,,,,,,,
BMD,3,113,47,170,626,,,,,,,,,,,,,,,,
BMD,3,113,45,220,687,,,,,,,,,,,,,,,,
BMD,3,113,44,175,880,,,,,,,,,,,,,,,,
BMD,3,113,45,188,951,,,,,,,,,,,,,,,,
BMD,3,113,44,176,823,,,,,,,,,,,,,,,,
BMD,3,113,39,180,784,,,,,,,,,,,,,,,,
BMD,3,113,41,124,778,,,,,,,,,,,,,,,,
BMD,3,113,44,182,779,,,,,,,,,,,,,,,,
BMD,3,113,43,150,842,,,,,,,,,,,,,,,,
BMD,4,119,45,169,778,,,,,,,,,,,,,,,,
BMD,4,119,43,156,602,,,,,,,,,,,,,,,,
BMD,4,119,49,180,770,,,,,,,,,,,,,,,,
BMD,4,119,43,179,755,,,,,,,,,,,,,,,,
BMD,4,119,43,170,882,,,,,,,,,,,,,,,,
BMD,4,119,43,215,776,,,,,,,,,,,,,,,,
BMD,4,119,48,157,679,,,,,,,,,,,,,,,,
BMD,4,119,44,154,813,,,,,,,,,,,,,,,,
BMD,4,119,41,196,596,,,,,,,,,,,,,,,,
BMD,4,119,39,,,,,,,,,,,,,,,,,,
BMD,5,179,50,187,773,,,,,,,,,,,,,,,,
BMD,5,179,46,205,911,,,,,,,,,,,,,,,,
BMD,5,179,47,164,801,,,,,,,,,,,,,,,,
BMD,5,179,44,207,757,,,,,,,,,,,,,,,,
BMD,5,179,36,174,764,,,,,,,,,,,,,,,,
BMD,5,179,40,168,875,,,,,,,,,,,,,,,,
BMD,5,179,43,186,802,,,,,,,,,,,,,,,,
BMD,5,179,42,166,898,,,,,,,,,,,,,,,,
BMD,5,179,44,184,783,,,,,,,,,,,,,,,,
BMD,5,179,37,143,866,,,,,,,,,,,,,,,,
BMD,6,182,43,165,824,,,,,,,,,,,,,,,,
BMD,6,182,47,245,745,,,,,,,,,,,,,,,,
BMD,6,182,43,181,826,,,,,,,,,,,,,,,,
BMD,6,182,39,216,703,,,,,,,,,,,,,,,,
BMD,6,182,41,164,912,,,,,,,,,,,,,,,,
BMD,6,182,45,198,830,,,,,,,,,,,,,,,,
BMD,6,182,41,153,891,,,,,,,,,,,,,,,,
BMD,6,182,47,195,1024,,,,,,,,,,,,,,,,
BMD,6,182,39,167,890,,,,,,,,,,,,,,,,
BMD,6,182,37,,,,,,,,,,,,,,,,,,
BMD,7,188,41,184,852,,,,,,,,,,,,,,,,
BMD,7,188,44,194,806,,,,,,,,,,,,,,,,
BMD,7,188,44,199,870,,,,,,,,,,,,,,,,
BMD,7,188,45,174,846,,,,,,,,,,,,,,,,
BMD,7,188,45,197,892,,,,,,,,,,,,,,,,
BMD,7,188,51,144,761,,,,,,,,,,,,,,,,
BMD,7,188,43,185,771,,,,,,,,,,,,,,,,
BMD,7,188,42,200,901,,,,,,,,,,,,,,,,
BMD,7,188,48,170,987,,,,,,,,,,,,,,,,
BMD,7,188,47,155,842,,,,,,,,,,,,,,,,
BMD,8,193,46,201,699,,,,,,,,,,,,,,,,
BMD,8,193,42,152,998,,,,,,,,,,,,,,,,
BMD,8,193,41,178,856,,,,,,,,,,,,,,,,
BMD,8,193,48,153,847,,,,,,,,,,,,,,,,
BMD,8,193,43,132,911,,,,,,,,,,,,,,,,
BMD,8,193,46,197,894,,,,,,,,,,,,,,,,
BMD,8,193,38,218,724,,,,,,,,,,,,,,,,
BMD,8,193,43,165,843,,,,,,,,,,,,,,,,
BMD,8,193,41,174,591,,,,,,,,,,,,,,,,
BMD,8,193,46,198,612,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,